ID,mean,std,median
257,0.38,0.01,0.38
258,0.63,0.04,0.62
259,0.37,,0.37
260,0.74,0.27,0.87
264,0.99,0.01,0.98
265,0.87,,0.87
266,,,
267,0.28,0.07,0.28
268,0.45,0.06,0.45
269,0.12,0.01,0.12
271,0.22,0.03,0.23
275,0.66,0.01,0.66
277,0.99,0.01,0.99
278,0.38,0.01,0.38
279,0.33,0.0,0.33
281,0.17,,0.17
282,0.25,0.11,0.28
287,0.38,0.07,0.41
288,0.2,0.0,0.2
289,1.0,0.0,1.0
291,0.0,,0.0
293,0.38,,0.38
294,,,
297,0.5,,0.5
298,0.44,0.03,0.45
299,0.36,0.03,0.35
300,0.26,0.01,0.26
301,0.34,0.03,0.34
302,0.94,0.04,0.94
304,0.57,,0.57
306,0.5,,0.5
308,0.36,0.01,0.36
310,,,
313,0.77,,0.77
315,0.52,0.01,0.52
317,0.43,0.04,0.43
319,,,
320,0.36,0.25,0.36
321,,,
326,0.41,,0.41
327,0.39,0.01,0.39
329,0.26,,0.26
330,0.11,0.04,0.11
331,0.52,0.19,0.5
332,0.35,0.05,0.36
333,0.14,0.15,0.14
334,,,
335,0.21,0.01,0.22
336,0.5,0.08,0.5
337,0.08,0.07,0.08
338,0.68,0.04,0.69
344,0.13,0.07,0.15
345,0.35,0.01,0.35
347,0.65,,0.65
348,0.36,0.03,0.38
349,0.41,0.02,0.4
350,0.61,0.17,0.61
351,0.44,,0.44
354,0.46,,0.46
355,0.41,0.04,0.42
356,0.76,0.05,0.76
357,0.15,0.04,0.15
358,0.26,0.03,0.26
359,0.94,0.03,0.92
361,0.18,,0.18
362,1.0,0.0,1.0
363,0.78,0.04,0.76
364,0.31,,0.31
366,0.64,0.04,0.64
369,0.25,0.03,0.26
372,0.44,0.06,0.44
379,0.14,,0.14
381,0.45,0.05,0.46
382,1.0,0.0,1.0
383,0.24,0.01,0.24
384,0.36,,0.36
385,0.76,,0.76
386,0.34,0.08,0.34
389,0.23,0.08,0.24
390,0.88,0.06,0.88
393,0.44,0.05,0.44
396,0.63,0.04,0.65
398,,,
399,0.36,0.02,0.36
400,0.36,0.04,0.36
402,0.14,,0.14
404,0.29,,0.29
405,0.38,0.04,0.38
406,0.57,0.2,0.64
407,0.73,,0.73
408,0.65,0.02,0.65
411,0.3,,0.3
414,0.29,0.03,0.29
416,,,
417,0.33,0.04,0.32
423,0.38,,0.38
425,,,
428,0.62,0.16,0.62
429,0.54,0.01,0.54
430,0.53,0.06,0.53
431,0.34,0.1,0.29
432,0.7,,0.7
435,0.62,0.06,0.62
437,0.34,0.06,0.34
438,0.59,0.09,0.57
440,0.28,0.02,0.28
441,0.22,0.04,0.22
445,,,
446,0.51,,0.51
451,0.66,,0.66
452,,,
456,0.34,0.04,0.32
457,0.23,0.03,0.23
459,0.59,0.1,0.6
461,0.36,0.04,0.38
462,0.4,0.01,0.4
463,0.22,0.04,0.22
464,0.48,0.11,0.48
465,,,
467,0.99,,0.99
468,,,
469,0.62,0.03,0.63
474,,,
475,0.11,,0.11
478,0.9,0.02,0.9
480,0.64,0.03,0.64
484,1.0,,1.0
485,0.73,,0.73
487,,,
489,0.52,0.04,0.52
494,,,
495,0.18,0.0,0.18
496,0.58,0.05,0.57
497,0.44,0.04,0.46
499,0.45,,0.45
500,0.52,0.01,0.52
501,0.17,0.01,0.17
502,0.25,,0.25
504,0.36,,0.36
505,0.3,,0.3
509,0.24,,0.24
510,0.26,0.07,0.26
516,0.99,,0.99
517,0.5,0.01,0.5
518,0.52,0.09,0.52
522,0.25,0.03,0.27
523,,,
524,,,
525,,,
526,0.51,,0.51
527,0.23,0.03,0.24
530,0.79,0.03,0.79
531,,,
532,,,
533,0.3,,0.3
537,0.28,,0.28
538,,,
540,0.4,0.09,0.4
542,0.74,0.06,0.74
545,,,
546,0.31,0.02,0.3
547,0.26,0.01,0.26
548,,,
552,0.75,0.0,0.75
557,0.7,0.02,0.69
558,0.55,0.01,0.55
561,0.21,,0.21
563,0.34,0.01,0.34
565,,,
566,0.84,0.02,0.84
567,0.25,0.09,0.26
569,0.19,,0.19
572,,,
573,0.45,0.06,0.44
576,0.82,0.06,0.82
579,0.74,0.21,0.74
580,,,
581,0.98,,0.98
584,0.24,0.07,0.2
586,,,
588,0.84,0.06,0.84
590,0.99,0.01,0.99
594,0.36,0.04,0.36
597,,,
598,0.49,0.04,0.47
599,0.54,,0.54
600,0.36,0.04,0.36
602,0.94,0.01,0.94
603,0.53,,0.53
604,,,
608,0.29,0.05,0.28
611,,,
612,1.0,0.0,1.0
613,0.39,,0.39
616,0.48,0.11,0.48
617,,,
621,0.46,0.01,0.46
622,0.28,0.05,0.28
623,0.07,,0.07
624,0.48,0.02,0.48
627,0.42,0.13,0.45
628,0.29,0.06,0.27
629,0.52,0.01,0.52
630,0.46,,0.46
633,0.41,0.11,0.42
635,0.71,0.03,0.72
637,0.62,0.01,0.62
638,,,
639,0.3,,0.3
640,,,
641,0.24,,0.24
644,0.92,,0.92
645,0.73,,0.73
646,0.16,,0.16
647,0.24,0.04,0.24
648,0.03,0.06,0.0
649,,,
651,0.85,0.02,0.85
653,0.82,0.01,0.82
654,0.32,,0.32
656,,,
657,0.78,0.05,0.78
659,1.0,,1.0
660,0.54,0.04,0.53
662,0.24,0.03,0.24
664,0.43,0.04,0.45
668,,,
669,0.76,0.01,0.76
674,0.5,0.01,0.5
675,0.45,,0.45
678,0.61,0.34,0.59
679,0.38,0.02,0.38
680,0.89,0.14,0.89
681,0.21,0.03,0.19
685,,,
686,0.08,0.02,0.08
687,0.63,0.01,0.64
688,1.0,,1.0
691,,,
692,0.46,,0.46
693,,,
694,0.44,0.02,0.44
697,0.59,0.15,0.54
700,1.0,0.0,1.0
701,0.53,0.03,0.52
703,0.07,0.04,0.07
704,,,
707,0.74,,0.74
708,0.72,0.09,0.68
709,0.66,,0.66
711,0.65,0.05,0.64
712,0.52,,0.52
713,0.5,0.2,0.4
715,0.46,,0.46
716,0.28,0.05,0.27
718,0.77,,0.77
720,0.32,,0.32
721,0.23,0.01,0.23
722,0.34,0.0,0.34
724,0.58,0.04,0.58
726,0.29,,0.29
727,0.11,0.04,0.13
728,0.3,,0.3
729,0.17,0.17,0.18
730,0.2,,0.2
731,0.17,,0.17
732,,,
737,0.69,,0.69
738,0.81,,0.81
740,0.66,0.15,0.66
743,,,
745,0.25,0.02,0.25
752,0.24,0.01,0.24
753,0.16,,0.16
754,0.84,0.04,0.82
756,0.09,0.01,0.08
757,0.17,0.02,0.17
762,0.32,,0.32
763,0.25,,0.25
764,0.52,0.09,0.52
765,0.58,,0.58
769,0.7,0.01,0.7
770,,,
771,,,
775,0.45,,0.45
781,0.16,,0.16
785,0.28,,0.28
786,0.06,0.02,0.06
787,0.58,0.09,0.63
788,0.56,0.02,0.56
789,0.41,0.11,0.41
790,0.61,0.1,0.61
792,0.32,0.05,0.32
793,,,
794,0.67,,0.67
796,0.24,0.01,0.24
798,0.24,0.11,0.24
803,0.58,,0.58
804,,,
805,0.59,,0.59
806,0.24,0.04,0.24
807,0.37,0.03,0.37
808,0.88,0.03,0.88
810,0.36,0.0,0.36
812,0.16,0.01,0.16
813,0.72,,0.72
814,0.4,0.06,0.39
815,0.52,0.01,0.52
817,0.28,0.06,0.28
818,0.29,0.06,0.27
820,1.0,0.0,1.0
821,,,
823,0.8,0.08,0.8
825,0.99,0.01,0.99
830,0.54,,0.54
831,0.45,0.07,0.45
835,0.7,,0.7
836,0.26,,0.26
837,0.35,0.06,0.36
838,0.45,0.08,0.42
841,0.7,0.05,0.72
843,0.55,0.36,0.49
844,,,
847,0.82,0.04,0.8
848,0.11,0.04,0.1
849,,,
850,0.86,,0.86
851,0.04,0.01,0.04
852,0.64,0.02,0.64
853,0.62,0.24,0.55
855,0.12,,0.12
856,0.3,,0.3
857,0.72,0.25,0.72
858,0.26,0.04,0.26
859,0.48,0.02,0.48
861,,,
863,0.5,0.01,0.5
864,1.0,0.0,1.0
867,0.74,0.06,0.74
869,0.99,,0.99
870,0.63,0.13,0.63
871,0.22,,0.22
872,0.09,0.06,0.08
874,0.93,,0.93
875,0.28,0.01,0.28
880,0.23,0.2,0.31
881,,,
882,0.66,0.15,0.66
884,0.0,0.0,0.0
886,0.17,0.08,0.21
887,,,
888,0.46,0.01,0.46
889,0.48,0.03,0.47
890,0.24,0.01,0.24
893,0.16,0.04,0.18
895,0.49,0.03,0.48
899,0.28,0.02,0.28
900,0.54,0.04,0.54
901,0.37,0.01,0.37
904,0.66,0.01,0.66
905,0.39,0.06,0.4
906,0.24,,0.24
909,0.81,,0.81
913,0.7,0.08,0.7
914,0.47,,0.47
916,0.12,0.01,0.12
917,1.0,0.0,1.0
918,0.41,,0.41
919,,,
921,0.34,0.01,0.34
922,0.89,,0.89
924,0.1,0.0,0.1
925,,,
926,0.5,0.05,0.5
927,,,
930,0.45,0.01,0.46
934,0.64,0.08,0.64
935,0.38,0.05,0.4
943,,,
944,1.0,0.0,1.0
946,0.58,0.06,0.56
947,0.8,0.04,0.8
948,0.45,,0.45
949,1.0,,1.0
951,0.51,0.05,0.52
953,0.25,0.06,0.22
955,0.24,0.01,0.24
958,0.15,0.02,0.16
959,0.77,0.14,0.71
960,0.86,,0.86
962,0.78,0.05,0.78
963,0.41,0.01,0.41
964,,,
965,0.17,0.02,0.17
967,1.0,0.01,1.0
968,0.29,0.03,0.29
969,,,
971,0.35,0.19,0.42
973,0.1,,0.1
975,,,
977,0.46,0.0,0.46
978,0.25,0.03,0.25
987,1.0,0.0,1.0
988,0.78,0.03,0.78
990,0.23,0.11,0.23
993,0.42,0.06,0.42
995,0.15,0.04,0.15
996,0.6,0.02,0.6
998,1.0,0.0,1.0
999,0.42,0.02,0.42
1000,1.0,,1.0
1001,0.95,0.02,0.96
1002,0.73,,0.73
1003,0.28,0.03,0.29
1004,0.69,0.04,0.69
1005,0.15,0.06,0.15
1006,0.31,0.0,0.31
1007,0.38,,0.38
1008,0.2,0.06,0.2
1009,0.35,0.03,0.36
1014,0.54,0.02,0.54
1015,,,
1016,0.45,,0.45
1020,0.08,0.11,0.08
1022,0.18,,0.18
1023,0.42,0.09,0.4
1024,0.38,0.04,0.38
1025,0.18,,0.18
1026,0.88,,0.88
1027,0.73,,0.73
1030,0.35,0.04,0.35
1031,0.1,0.08,0.08
1032,0.87,0.05,0.9
1034,0.64,0.03,0.64
1036,0.55,0.15,0.62
1037,,,
1038,0.48,0.04,0.46
1043,0.72,0.06,0.72
1044,0.75,0.04,0.76
1048,,,
1049,0.27,0.03,0.28
1051,0.48,0.08,0.48
1056,0.08,0.12,0.08
1057,0.25,0.09,0.28
1058,0.58,,0.58
1059,0.57,0.04,0.57
1060,0.51,0.06,0.52
1061,0.22,0.09,0.22
1062,0.76,0.04,0.76
1063,1.0,0.0,1.0
1065,0.58,0.13,0.58
1066,0.15,,0.15
1068,0.5,0.25,0.5
1069,0.33,,0.33
1072,0.33,,0.33
1073,0.38,,0.38
1076,0.56,0.08,0.56
1077,0.37,0.01,0.37
1082,0.55,0.02,0.55
1084,0.26,0.06,0.26
1086,0.65,0.02,0.65
1087,0.46,,0.46
1088,0.0,0.0,0.0
1089,0.4,0.04,0.39
1092,0.54,0.03,0.56
1093,,,
1094,0.27,0.02,0.27
1096,0.07,,0.07
1099,0.57,0.04,0.57
1101,0.39,,0.39
1103,0.46,0.03,0.45
1106,0.28,0.1,0.31
1107,0.63,0.04,0.65
1109,0.25,0.03,0.25
1110,0.5,0.11,0.5
1111,0.28,,0.28
1119,0.86,0.03,0.86
1120,0.22,0.03,0.23
1121,0.26,0.03,0.28
1122,0.24,0.06,0.24
1123,0.97,,0.97
1125,0.69,0.25,0.59
1127,0.37,0.02,0.37
1128,,,
1129,0.16,0.01,0.16
1130,0.99,0.01,1.0
1131,0.51,,0.51
1132,0.15,0.01,0.15
1136,,,
1138,,,
1140,0.39,0.19,0.4
1141,,,
1142,0.26,0.05,0.26
1143,0.66,,0.66
1144,,,
1145,0.75,0.0,0.75
1146,0.88,0.03,0.86
1150,0.95,0.04,0.96
1151,0.58,0.02,0.58
1152,0.38,0.01,0.38
1153,0.78,0.04,0.79
1156,0.39,,0.39
1157,0.63,0.02,0.64
1159,,,
1160,,,
1162,0.6,,0.6
1163,0.81,,0.81
1165,0.66,0.05,0.66
1166,,,
1169,,,
1170,0.34,0.08,0.34
1171,0.36,0.05,0.36
1172,0.18,0.01,0.18
1173,,,
1176,0.25,,0.25
1177,0.24,0.02,0.24
1179,0.71,,0.71
1181,0.4,0.05,0.4
1186,0.56,0.01,0.56
1187,0.78,0.03,0.78
1191,0.48,0.01,0.48
1192,0.18,0.0,0.18
1193,0.08,0.04,0.08
1194,0.17,0.01,0.18
1195,,,
1196,0.14,0.05,0.14
1197,0.64,0.01,0.64
1198,0.6,0.05,0.62
1200,0.23,0.0,0.23
1202,,,
1204,0.39,0.04,0.38
1205,0.27,0.04,0.25
1206,0.25,,0.25
1209,0.64,,0.64
1212,0.49,,0.49
1213,,,
1215,,,
1216,0.49,,0.49
1217,0.78,0.01,0.78
1219,0.33,0.04,0.32
1220,0.27,0.04,0.28
1221,0.7,0.02,0.7
1222,0.77,0.07,0.79
1225,0.56,0.01,0.56
1229,0.6,0.01,0.6
1230,0.26,0.04,0.26
1233,,,
1235,0.59,0.0,0.59
1237,,,
1238,0.32,0.02,0.32
1239,0.72,0.08,0.7
1240,1.0,0.0,1.0
1241,0.16,0.04,0.16
1242,0.21,0.01,0.21
1243,0.39,0.03,0.39
1244,0.4,,0.4
1246,0.7,0.11,0.7
1247,0.48,0.06,0.5
1248,0.47,0.07,0.48
1250,0.3,0.04,0.3
1252,0.33,0.04,0.31
1253,0.55,0.02,0.56
1254,0.79,,0.79
1255,0.68,,0.68
1256,1.0,,1.0
1257,,,
1258,0.88,,0.88
1259,0.62,0.03,0.62
1260,0.33,0.2,0.33
1261,0.44,,0.44
1262,0.0,0.0,0.0
1268,0.41,0.02,0.4
1269,0.5,0.03,0.49
1272,0.54,,0.54
1274,0.86,0.13,0.8
1275,0.37,0.06,0.36
1276,0.73,0.01,0.73
1280,0.86,,0.86
1281,0.22,,0.22
1282,0.6,,0.6
1283,0.58,,0.58
1286,0.74,0.02,0.74
1290,0.85,,0.85
1292,0.34,0.03,0.34
1293,0.68,0.08,0.7
1295,0.29,0.03,0.29
1296,0.27,0.0,0.27
1298,0.6,0.09,0.6
1300,0.54,0.04,0.54
1303,0.49,,0.49
1305,0.76,,0.76
1306,0.86,0.02,0.86
1310,0.65,,0.65
1313,0.27,0.03,0.27
1314,1.0,0.0,1.0
1315,0.19,0.0,0.19
1318,0.75,,0.75
1320,0.2,0.1,0.22
1323,0.46,,0.46
1324,0.14,0.02,0.13
1325,0.34,0.02,0.34
1326,0.79,,0.79
1328,0.57,,0.57
1329,0.58,,0.58
1330,0.22,0.2,0.22
1331,0.84,0.06,0.84
1332,0.57,0.16,0.57
1334,0.48,0.06,0.48
1336,,,
1342,0.31,,0.31
1343,0.83,,0.83
1344,0.3,0.03,0.3
1345,1.0,0.0,1.0
1346,0.73,0.14,0.65
1347,0.56,,0.56
1348,0.46,,0.46
1349,0.35,0.06,0.35
1351,1.0,0.0,1.0
1352,0.38,,0.38
1353,0.14,0.04,0.15
1354,0.3,0.03,0.3
1356,0.31,0.03,0.31
1358,,,
1360,0.34,0.01,0.34
1361,0.73,0.03,0.72
1363,0.28,0.06,0.28
1366,0.16,0.01,0.16
1367,,,
1369,0.64,,0.64
1370,0.14,0.03,0.14
1372,0.23,0.0,0.23
1375,0.44,0.02,0.44
1376,0.46,0.05,0.44
1377,0.33,,0.33
1379,0.63,0.01,0.63
1380,0.42,0.18,0.36
1382,0.29,0.02,0.29
1384,0.12,0.04,0.12
1385,0.56,0.1,0.56
1388,0.08,0.13,0.0
1393,0.28,0.03,0.28
1395,0.78,0.02,0.78
1396,0.83,,0.83
1397,0.48,0.07,0.47
1399,0.53,,0.53
1402,0.27,,0.27
1408,0.72,,0.72
1410,0.38,0.01,0.38
1411,0.23,0.04,0.25
1412,0.25,,0.25
1418,0.15,,0.15
1419,0.31,0.07,0.32
1422,0.38,,0.38
1427,0.92,,0.92
1428,0.79,,0.79
1429,0.63,0.01,0.63
1430,0.21,0.03,0.22
1431,0.37,,0.37
1433,0.57,,0.57
1435,0.54,,0.54
1436,0.61,,0.61
1438,0.29,0.03,0.28
1439,,,
1441,0.35,0.03,0.33
1443,0.24,0.02,0.24
1445,0.86,0.02,0.86
1446,0.2,,0.2
1447,0.17,0.11,0.17
1448,0.38,0.01,0.38
1452,0.53,0.03,0.51
1455,0.11,0.07,0.11
1456,0.58,0.13,0.58
1458,0.45,,0.45
1460,0.54,0.04,0.54
1461,0.72,,0.72
1462,0.38,,0.38
1463,0.48,0.07,0.48
1467,1.0,,1.0
1470,,,
1471,0.77,,0.77
1473,0.22,,0.22
1474,0.64,0.03,0.64
1479,0.56,,0.56
1481,0.28,0.0,0.28
1482,0.87,0.02,0.88
1483,,,
1484,0.49,0.17,0.49
1485,0.58,0.04,0.58
1486,0.27,,0.27
1490,0.41,0.03,0.42
1491,0.56,0.01,0.56
1496,0.66,,0.66
1497,0.43,0.08,0.43
1499,0.9,0.0,0.9
1501,0.2,0.01,0.2
1505,0.52,0.01,0.52
1508,0.47,0.03,0.46
1509,0.0,0.0,0.0
1511,0.26,0.06,0.26
1513,0.74,0.06,0.74
1515,0.97,,0.97
1516,,,
1520,0.76,0.04,0.76
1522,0.69,0.08,0.73
1526,0.67,,0.67
1530,0.22,0.06,0.22
1531,0.57,0.01,0.56
1532,,,
1533,0.23,0.03,0.22
1534,0.46,,0.46
1535,0.61,,0.61
1538,0.68,0.07,0.68
1540,,,
1541,0.18,0.0,0.18
1542,0.88,0.08,0.88
1543,0.46,0.04,0.46
1545,0.3,,0.3
1548,0.79,,0.79
1550,0.27,0.05,0.25
1551,0.14,0.0,0.14
1553,0.31,,0.31
1557,,,
1559,0.88,,0.88
1560,0.23,0.01,0.23
1562,0.26,0.02,0.26
1563,0.17,0.01,0.17
1565,0.94,0.05,0.94
1568,0.4,0.02,0.4
1569,0.77,0.04,0.75
1571,0.24,0.08,0.24
1572,0.32,,0.32
1575,0.53,0.09,0.53
1576,0.59,0.47,0.59
1577,0.44,0.14,0.44
1578,0.23,0.03,0.23
1581,0.99,,0.99
1584,0.4,0.03,0.41
1587,0.32,0.08,0.32
1588,0.27,0.04,0.27
1590,0.33,,0.33
1591,0.16,,0.16
1594,0.54,0.02,0.53
1595,0.67,0.15,0.69
1596,0.33,0.06,0.32
1597,0.13,,0.13
1599,0.27,0.0,0.27
1601,0.53,0.07,0.53
1602,0.58,,0.58
1604,0.64,0.13,0.63
1605,0.47,0.03,0.48
1606,0.12,,0.12
1607,0.88,0.05,0.86
1608,0.94,,0.94
1611,0.61,,0.61
1613,0.43,0.1,0.45
1615,0.16,0.05,0.16
1618,0.29,,0.29
1620,0.16,,0.16
1622,0.31,,0.31
1623,0.19,,0.19
1624,1.0,0.01,1.0
1625,0.52,0.01,0.52
1626,0.27,0.06,0.27
1629,,,
1630,0.18,0.25,0.18
1631,0.33,0.08,0.34
1632,1.0,0.0,1.0
1634,,,
1637,0.2,,0.2
1638,0.93,,0.93
1639,0.16,0.03,0.16
1640,0.52,0.08,0.52
1642,0.38,0.03,0.38
1643,0.23,,0.23
1645,0.64,0.04,0.64
1646,,,
1648,0.12,0.09,0.12
1651,0.32,0.0,0.32
1652,0.52,0.03,0.52
1653,0.76,0.05,0.76
1655,0.51,0.01,0.51
1656,0.15,0.02,0.14
1657,0.31,0.01,0.31
1658,0.15,0.04,0.17
1660,1.0,,1.0
1664,0.61,0.05,0.6
1667,0.62,,0.62
1668,0.62,0.05,0.62
1669,0.86,0.02,0.86
1670,0.49,0.02,0.5
1672,0.66,0.01,0.66
1680,,,
1681,0.97,,0.97
1682,,,
1684,0.75,0.05,0.75
1685,0.19,,0.19
1686,0.74,0.03,0.74
1689,0.5,,0.5
1691,0.71,0.09,0.7
1692,0.32,0.05,0.34
1697,0.4,0.02,0.41
1698,0.45,0.03,0.45
1699,0.44,0.04,0.44
1700,0.28,0.01,0.28
1702,1.0,0.0,1.0
1706,0.56,0.11,0.54
1707,,,
1709,1.0,,1.0
1710,0.27,,0.27
1711,0.15,0.03,0.14
1715,0.17,0.13,0.14
1717,0.42,0.01,0.42
1718,1.0,,1.0
1719,0.34,0.11,0.34
1727,0.21,0.09,0.18
1729,0.2,0.0,0.2
1730,0.58,0.09,0.57
1733,0.73,0.19,0.68
1735,0.27,0.0,0.27
1736,0.22,0.04,0.22
1737,,,
1742,0.64,0.02,0.65
1746,0.37,0.01,0.37
1749,0.0,,0.0
1750,0.37,0.02,0.38
1752,,,
1754,0.26,0.08,0.26
1755,0.22,0.04,0.22
1757,0.29,,0.29
1760,0.26,,0.26
1764,0.36,,0.36
1768,0.11,0.01,0.11
1770,0.68,0.07,0.7
1771,0.64,0.04,0.64
1774,0.45,0.05,0.46
1776,0.53,0.03,0.51
1780,0.21,0.18,0.21
1781,0.53,0.02,0.54
1783,0.53,0.02,0.53
1786,0.06,0.01,0.06
1787,0.24,0.06,0.24
1788,1.0,,1.0
1791,0.69,,0.69
1792,0.86,0.01,0.86
1794,0.28,,0.28
1795,0.46,0.03,0.46
1796,,,
1797,0.47,0.06,0.48
1800,0.37,0.1,0.34
1801,0.4,0.03,0.39
1803,0.42,0.03,0.42
1805,,,
1806,0.32,0.04,0.32
1809,0.38,0.04,0.38
1810,,,
1815,0.23,,0.23
1816,0.76,0.32,0.76
1817,0.65,,0.65
1819,0.75,0.02,0.75
1820,,,
1821,0.86,0.01,0.86
1822,0.68,,0.68
1823,0.17,,0.17
1829,,,
1830,0.64,0.02,0.64
1833,0.24,0.04,0.24
1834,0.16,0.01,0.16
1841,0.35,0.0,0.35
1843,,,
1844,0.08,,0.08
1845,0.3,0.02,0.3
1847,0.21,0.01,0.21
1848,0.23,0.03,0.24
1849,0.53,,0.53
1850,0.65,0.0,0.65
1852,0.8,0.06,0.8
1853,0.17,0.03,0.16
1854,0.54,0.11,0.54
1859,0.42,0.03,0.42
1860,0.6,0.02,0.6
1861,0.29,,0.29
1862,0.21,,0.21
1863,0.26,0.05,0.26
1864,,,
1865,0.18,0.01,0.18
1866,0.3,0.03,0.3
1868,0.38,0.05,0.39
1869,0.18,0.06,0.18
1870,0.66,0.02,0.66
1871,0.57,,0.57
1872,0.3,0.04,0.3
1874,0.48,0.05,0.48
1877,,,
1879,0.48,,0.48
1880,0.96,0.01,0.96
1883,,,
1884,0.28,,0.28
1886,0.64,0.12,0.64
1888,0.77,0.16,0.7
1890,,,
1893,0.89,,0.89
1894,0.37,0.01,0.37
1895,0.86,0.05,0.86
1897,,,
1899,0.3,0.03,0.3
1901,0.21,,0.21
1904,0.32,0.01,0.32
1905,0.38,0.03,0.38
1906,0.5,,0.5
1907,0.66,0.01,0.66
1908,0.66,0.02,0.66
1909,,,
1910,0.15,0.01,0.15
1913,0.54,0.03,0.54
1914,0.49,0.01,0.49
1915,0.24,0.08,0.27
1917,0.48,0.08,0.48
1919,0.27,0.04,0.28
1923,1.0,,1.0
1924,0.63,0.01,0.63
1925,0.15,0.02,0.15
1926,0.74,,0.74
1927,0.86,0.01,0.85
1928,0.73,,0.73
1929,0.23,,0.23
1930,0.25,0.01,0.25
1931,0.26,0.02,0.26
1938,,,
1939,0.53,0.01,0.53
1941,0.34,0.03,0.33
1942,0.56,0.03,0.56
1943,0.21,0.03,0.21
1945,0.38,0.02,0.38
1948,0.67,,0.67
1949,0.41,0.09,0.4
1951,0.77,0.03,0.76
1952,0.52,0.01,0.52
1953,0.37,0.03,0.37
1954,0.34,0.02,0.34
1955,0.46,,0.46
1956,,,
1957,0.24,,0.24
1961,0.55,0.1,0.54
1965,0.6,,0.6
1966,0.52,0.01,0.52
1967,0.2,,0.2
1968,0.27,0.03,0.27
1971,0.34,0.08,0.36
1972,0.3,0.03,0.3
1974,0.35,,0.35
1975,0.52,0.01,0.52
1976,0.81,0.03,0.79
1982,0.18,,0.18
1983,0.21,,0.21
1987,0.77,0.27,0.87
1990,,,
